id,x,y,fix_x,fix_y,movable_x,movable_y
0,-7.5,0.0,1,1,0,0
1,-5.5283602284319535,0.0,0,0,1,0
2,-2.585008964355329,0.0,0,0,1,0
3,0.0,0.0,0,0,1,0
4,2.585008964355329,0.0,0,0,1,0
5,5.5283602284319535,0.0,0,0,1,0
6,7.5,0.0,0,1,0,0
7,-7.21509238112095,-1.1439904387561692,0,0,1,1
8,-6.199649535868339,-3.1762430977298326,0,0,1,1
9,-2.874105079347089,-5.391739594674878,0,0,1,1
10,2.874105079347089,-5.391739594674878,0,0,1,1
11,6.199649535868339,-3.1762430977298326,0,0,1,1
12,7.21509238112095,-1.1439904387561692,0,0,1,1
