id,start,end,min_dist,max_dist,Section_A_mm2,I_mm4,Max_Tension_N,Max_Compression_N
0,0,1,1.0,,45.76,39.05,152.4,152.4
1,1,2,1.0,,45.76,39.05,152.4,152.4
2,2,3,1.0,,45.76,39.05,152.4,32.43
3,3,4,1.0,,45.76,39.05,152.4,32.43
4,4,5,1.0,,45.76,39.05,152.4,152.4
5,5,6,1.0,,45.76,39.05,152.4,152.4
6,7,8,1.0,,45.76,39.05,152.4,73.61
7,8,9,1.0,,45.76,39.05,152.4,34.42
8,9,10,1.0,,45.76,39.05,152.4,34.42
9,10,11,1.0,,45.76,39.05,152.4,73.61
10,9,3,1.0,,45.76,39.05,152.4,51.61
11,9,2,1.0,,45.76,39.05,152.4,17.89
12,9,4,1.0,,45.76,39.05,152.4,17.89
13,2,8,1.0,,45.76,39.05,152.4,93.53
14,4,10,1.0,,45.76,39.05,152.4,93.53
15,8,1,1.0,,45.76,39.05,152.4,66.67
16,10,5,1.0,,45.76,39.05,152.4,66.67
17,1,7,1.0,,45.76,39.05,152.4,152.4
18,5,11,1.0,,45.76,39.05,152.4,152.4
19,7,0,1.0,,45.76,39.05,152.4,152.4
20,11,6,1.0,,45.76,39.05,152.4,152.4
